Project ID,Project Name,Registry,ARB Project,Registry + ARB,Scope,Project Type,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,Total Credits Issued,Total Credits Retired,Total Credits Remaining,First Year of Project,Issued by Reporting 1996,Issued by Reporting 1997,Issued by Reporting 1998,Issued by Reporting 1999,Issued by Reporting 2000,Issued by Reporting 2001,Issued by Reporting 2002,Issued by Reporting 2003,Issued by Reporting 2004,Issued by Reporting 2005,Issued by Reporting 2006,Issued by Reporting 2007,Issued by Reporting 2008,Issued by Reporting 2009,Issued by Reporting 2010,Issued by Reporting 2011,Issued by Reporting 2012,Issued by Reporting 2013,Issued by Reporting 2014,Issued by Reporting 2015,Issued by Reporting 2016,Issued by Reporting 2017,Issued by Reporting 2018,Issued by Reporting 2019,Issued by Reporting 2020,Issued by Reporting Future Years,Retired 1996,Retired 1997,Retired 1998,Retired 1999,Retired 2000,Retired 2001,Retired 2002,Retired 2003,Retired 2004,Retired 2005,Retired 2006,Retired 2007,Retired 2008,Retired 2009,Retired 2010,Retired 2011,Retired 2012,Retired 2013,Retired 2014,Retired 2015,Retired 2016,Retired 2017,Retired 2018,Retired 2019,Retired 2020,Retired 2021,Retired Year Unknown,Project Owner,Offset Project Operator,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions,Voluntary Status,Project Listed,Project Registered ,ARB ID,Active CCB Status,Project Sector,Registry Documents,Project Website,Issued 1996,Issued 1997,Issued 1998,Issued 1999,Issued 2000,Issued 2001,Issued 2002,Issued 2003,Issued 2004,Issued 2005,Issued 2006,Issued 2007,Issued 2008,Issued 2009,Issued 2010,Issued 2011,Issued 2012,Issued 2013,Issued 2014,Issued 2015,Issued 2016,Issued 2017,Issued 2018,Issued 2019,Issued 2020,Notes,Date project added to database,Year of first issuance
GS7287,GS1247 VPA 165 Southern Ethiopia Community Safe Water,GOLD,,GOLD,Household & Community,Clean Water,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,1347,0,1347,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1566,https://registry.goldstandard.org/projects/details/1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,,44300,2019
GS7288,GS1247 VPA 166 Southern Ethiopia Community Safe Water,GOLD,,GOLD,Household & Community,Clean Water,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,1475,0,1475,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1565,https://registry.goldstandard.org/projects/details/1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,,44300,2019
GS7289,GS1247 VPA 168 Southern Ethiopia Community Safe Water,GOLD,,GOLD,Household & Community,Clean Water,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,1521,0,1521,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1568,https://registry.goldstandard.org/projects/details/1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,,44300,2019
GS729,Selale HEPP,GOLD,,GOLD,Renewable Energy,Hydropower,ACM0002 Grid-connected electricity generation from renewable sources,Middle East,Turkey,,,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_DESIGN,,,,,SMALL_LOW_IMPACT_HYDRO,https://impact.sustain-cert.com/public_projects/1285,https://registry.goldstandard.org/projects/details/1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS7290,GS1247 VPA 169 Southern Ethiopia Community Safe Water,GOLD,,GOLD,Household & Community,Clean Water,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,1759,0,1759,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1569,https://registry.goldstandard.org/projects/details/1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,,44300,2019
GS7291,GS1247 VPA 170 Southern Ethiopia Community Safe Water,GOLD,,GOLD,Household & Community,Clean Water,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,1491,0,1491,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1570,https://registry.goldstandard.org/projects/details/1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,,44300,2019
GS7292,GS1247 VPA 171 Southern Ethiopia Community Safe Water,GOLD,,GOLD,Household & Community,Clean Water,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,1616,0,1616,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1571,https://registry.goldstandard.org/projects/details/1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,,44300,2019
GS7293,GS1247 VPA 172 Southern Ethiopia Efficient Cook Stoves,GOLD,,GOLD,Household & Community,Cookstoves,GS TPDDTEC v 1.,Sub Saharan Africa,Ethiopia,,,CO2balance UK ltd,11679,0,11679,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364,3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1572,https://registry.goldstandard.org/projects/details/1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11679,,44300,2019
GS730,"Sayan 14.896 MWe Small Scale Power Project, Turkey",GOLD,,GOLD,Renewable Energy,Hydropower,AMS-I.D. Grid connected renewable electricity generation,Middle East,Turkey,,,Unknown Project Developer,90084,79706,10378,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,26395,23287,13159,26579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47127,1932,12002,1022,227,17396,0,0,Unknown Project Developer,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,SMALL_LOW_IMPACT_HYDRO,https://impact.sustain-cert.com/public_projects/1697,https://registry.goldstandard.org/projects/details/1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51289,0,38795,0,0,0,0,,44300,2011
GS7303,Bangna Starch Wastewater Treatment and Biogas Utilization Project (300084) (GS565 CER to VER conversion),GOLD,,GOLD,Waste Management,Methane Recovery in Wastewater,AMS-I.D. Grid connected renewable electricity generation,South East Asia,Thailand,,,South Pole Carbon Asset Management Ltd.,8000,0,8000,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Pole Carbon Asset Management Ltd.,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,BIOGAS_ELECTRICITY,https://impact.sustain-cert.com/public_projects/1702,https://registry.goldstandard.org/projects/details/1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,,44300,2016
